Gene,Delta_Correlation,P_Value,FDR,Cancer
THUMPD2,0.006031497993075344,0.9953800888142765,0.9975635229796593,HNSCC
THUMPD3,-0.041370198644117395,0.7375091304094538,0.8424321264947324,HNSCC
THY1,0.21539090076442635,4.5200960471551224e-05,0.00047529765124957815,HNSCC
THYN1,0.09393702326860909,0.234998849122508,0.3937799128257489,HNSCC
TIA1,0.6416998192555204,4.060071752732686e-06,6.0913568819460234e-05,HNSCC
TIAL1,-0.10808175811834417,0.3696462178769855,0.5359485454558969,HNSCC
TIAM1,0.13909127021184686,0.311047718876896,0.4764903164447831,HNSCC
TICAM1,0.3845294920869615,0.015516306474577178,0.053223714646527136,HNSCC
TICRR,0.3649774907488156,0.15477849754503364,0.29172785235005183,HNSCC
TIFA,0.397039038323442,0.001771307099780497,0.009753691042947153,HNSCC
TIMELESS,0.6740499490919054,0.00025877178970695275,0.002041701046296281,HNSCC
TIMM10,0.29869584048483133,0.07760064838963518,0.17603198955471558,HNSCC
TIMM13,0.2178771931196571,0.19799561612894445,0.3491597194375165,HNSCC
TIMM17A,0.5189847763373321,0.0005904106912894954,0.004017330805913755,HNSCC
TIMM17B,0.2846574848409711,0.10812374618255521,0.2251116081922029,HNSCC
TIMM21,0.11103008022405142,0.4448748046177988,0.6057552491807838,HNSCC
TIMM22,0.0879040628108951,0.6413393272756801,0.7721944082633911,HNSCC
TIMM23,0.10175821504130808,0.5363673538413187,0.6873396103364705,HNSCC
TIMM44,0.6280112057897117,1.5791976230864994e-06,2.616480510436955e-05,HNSCC
TIMM50,0.9573548351333411,1.2855818010904883e-12,6.77675336445105e-11,HNSCC
TIMM8A,0.30707388304373884,0.0719884240873785,0.16631867133383443,HNSCC
TIMM8B,-0.011228947454373417,0.8882081672730257,0.9379324535055502,HNSCC
TIMM9,0.43128324210237706,0.018485006878277022,0.06067512187039971,HNSCC
TIMMDC1,0.17630568450358752,0.2394827320300027,0.3987426332177883,HNSCC
TIMP1,-0.07793583501971435,0.3497448478576629,0.517246149399349,HNSCC
TIMP2,0.4080499101337895,6.254197258916828e-05,0.0006198265413511881,HNSCC
TIMP3,0.347454881734043,0.00022185697984936962,0.0017936208756737487,HNSCC
TINAGL1,0.33230146513894876,0.046816437074969734,0.12074950921848845,HNSCC
TINF2,0.08590230306234008,0.7546173923163756,0.8534186257531363,HNSCC
TIPIN,0.9861271849309601,6.422504208658748e-07,1.1663363322689032e-05,HNSCC
TIPRL,0.5240306501970984,0.00022199552880826647,0.0017936208756737487,HNSCC
TIRAP,0.30985958485958487,0.3441256455964503,0.5119452297889092,HNSCC
TJAP1,0.30167275128611964,0.00011794936606912075,0.0010502257517346766,HNSCC
TJP1,-0.07143321512834788,0.13094856363495141,0.25859112257807626,HNSCC
TJP3,-0.24713598894463906,0.008103237642276028,0.0322410336546209,HNSCC
TK1,0.4380275390367134,6.685846776471606e-10,2.362332527686634e-08,HNSCC
TK2,-0.07751622169053363,0.33815980411073676,0.505477377328005,HNSCC
TKT,0.058923158064704606,0.5860890770980103,0.7284655467575575,HNSCC
TKTL1,0.4879058987094531,0.150870192874018,0.2862981360006662,HNSCC
TLE1,0.5436728828537479,0.0006111465929194235,0.004138820537604318,HNSCC
TLE3,0.24546574467933696,0.06660136892515309,0.15646748970322644,HNSCC
TLE4,0.0897562939494298,0.6959402384724602,0.8126050075143832,HNSCC
TLK1,0.16820324845689139,0.36322167457571286,0.5304189533486601,HNSCC
TLK2,0.5425486190689336,0.0028463139678371416,0.014205349956165713,HNSCC
TLN1,-0.057723882330697585,0.7059703066922786,0.8186233568208205,HNSCC
TLN2,-0.2764065177498991,0.08723525616199475,0.19225270465350797,HNSCC
TLR2,0.30472026008067954,2.8238944574203756e-06,4.3573763842980225e-05,HNSCC
TLR3,0.28371708911682697,0.0007561197402563238,0.004901170886064557,HNSCC
TLR7,0.014624882164946076,0.9709080636355955,0.9846818966811394,HNSCC
TLR8,0.08885397384037602,0.7647555690119971,0.8608907201898875,HNSCC
TM2D1,0.09729064039408866,0.7946149614664573,0.8824832142376599,HNSCC
TM2D3,-0.01231144897151537,0.9353984763706946,0.9665189596913556,HNSCC
TM7SF2,0.07856690880937284,0.5719860538720584,0.7172441812215911,HNSCC
TM9SF2,-0.3974014749375169,0.004542155807681759,0.020592795646914235,HNSCC
TM9SF3,-0.41483295051447083,0.002248022287826135,0.011685881317100463,HNSCC
TM9SF4,0.29408629732351876,0.05406478286696178,0.13470612225820422,HNSCC
