Gene,interaction_coeff,condition_coeff,transcript_coeff,intercept,interaction_pval,condition_pval,transcript_pval,intercept_pval,interaction_FDR,condition_FDR,intercept_FDR,Cancer
DKC1,-0.07862616104644254,1.097817056489326,0.34352212389393927,-3.9330317762340465,0.8680783311336259,0.8281033468690653,0.4643635638165381,0.4325405691594737,0.9700061369695837,0.9604947337572711,0.999907087318879,Endometrial
DKK1,0.3906274882311198,-1.97712905843393,-0.02206096721188732,0.0765931055642494,0.03444104461487072,0.18460112530443534,0.900597323557613,0.9579173564321914,0.2718070816066288,0.5763887140622862,0.999907087318879,Endometrial
DKK3,-0.15510998474432441,1.7777028336529952,0.5589054888054565,-5.891716396135274,0.5764121881526822,0.5751396611001325,0.04157568231175973,0.061151830407232065,0.8738593593937959,0.8630562302728632,0.6117611390704192,Endometrial
DKK4,0.0664746213939283,0.5862227574432372,0.3001082124305674,-1.1976207779802541,0.6340691785547065,0.39498540156711504,0.0297735251772049,0.07012751508664936,0.897024045306599,0.7655278698805521,0.6486642028669899,Endometrial
DLAT,0.13556240267158848,-1.0846656897320854,0.27718395116048494,-3.179445145772079,0.857642649137076,0.8886331374706746,0.710479729684847,0.6774899428676506,0.968098696770985,0.9737727427782633,0.999907087318879,Endometrial
DLD,0.7926531871354059,-8.534623988107281,-0.32471590909083026,3.344310064934168,0.4162243539680335,0.44571637017849586,0.7371242051241496,0.7633079503081251,0.7965724851600003,0.7980948761799992,0.999907087318879,Endometrial
DLG1,-0.24442959055170504,2.9372553448121104,0.5478196450059973,-6.647765109807229,0.715120648748681,0.7132478659977719,0.40885629817352054,0.40067821596775843,0.9274266739955184,0.9216701011203516,0.999907087318879,Endometrial
DLG2,-0.18757628513632907,1.1601246390036202,0.4700565011306928,-3.5700837574999333,0.6965598277677374,0.8055111007016438,0.3221388817435364,0.44505919782110404,0.9221581419860134,0.952477822900156,0.999907087318879,Endometrial
DLG3,0.3807979473989949,-4.700593315464386,0.30085082975947147,-3.1664398769346347,0.21612948541544258,0.15810025620516466,0.32217756872718917,0.3340106505663112,0.6412717666611906,0.5361633702926144,0.9870898629670172,Endometrial
DLG4,-0.19918914100811902,2.2047550767141537,0.20554780315938748,-2.1396409609202895,0.609422859702474,0.5537531849986684,0.595556187267826,0.5635056644833638,0.8875091520326173,0.8523179744689576,0.999907087318879,Endometrial
DLG5,0.2155412632462132,-2.76878769411272,0.11010880396430928,-1.2424543898625204,0.3726256259055569,0.3347243112006898,0.644610683571117,0.6607601163805693,0.7697441006369716,0.7199740973301614,0.999907087318879,Endometrial
DLGAP1,0.16119917943048956,-0.6568471977396465,0.2939078094741501,-2.674932486406937,0.5382239122595158,0.7346838440492676,0.2584107821475544,0.1652524071784495,0.8616637412805374,0.9280816546190115,0.8638122438121109,Endometrial
