gene,cancer,interaction_coeff,condition_coeff,transcript_coeff,intercept,interaction_pval,condition_pval,transcript_pval,intercept_pval
MRPL49,en,0.024691523176972995,0.31650101803349767,0.3073577106516022,-3.7200201589801125,0.9951392073043539,0.9931613639235162,0.9992021033216063,0.9993849095097266
MRPL50,en,0.06280880098753656,-0.7065712768753316,0.021378316990665534,-0.05825203589749102,0.9737675011383479,0.9670952688984032,0.9993552080124365,0.9993849095097266
MRPL51,en,1.558888272834353,-15.239003207655973,-1.5991608566777784,15.776007472969125,0.4181189516697018,0.42834768352804303,0.6588623212714776,0.6781913541763999
MRPL52,en,0.36225006671825244,-2.97273956738379,-0.0390360303042063,4.410027006106391e-05,0.6703746788000094,0.6755448522752143,0.9992021033216063,0.9999868407339558
MRPL53,en,0.73895183086651,-6.975864201631732,-0.4863478260867825,4.682621739128842,0.7911246688165594,0.7707100357307436,0.9992021033216063,0.9993849095097266
MRPL54,en,1.2574566247138024,-11.306010363058068,-0.9038852554899902,8.116744080851495,0.03943131383033001,0.03900663626106761,0.3598588151630856,0.362722052966464
MRPL55,en,0.6590237412875973,-5.681989873885346,-0.6271496165769328,5.4717201827378386,0.5956692991466087,0.5974803793839594,0.8896006751382254,0.8960971333973394
MRPL57,en,2.631391588575232,-26.336255895762182,-2.4721780702844804,24.847307276792442,0.12588703424068828,0.11634490502666976,0.30593391439857476,0.2876199363705452
MRPL58,en,0.30297015350983814,-2.2906835625200506,-0.20475809864121897,1.4909534063661085,0.8459218724425168,0.8610534445337407,0.9992021033216063,0.9993849095097266
MRPL9,en,-0.19696102293768403,2.4216857324654746,0.18831181770920014,-2.2382731848896142,0.9391487924555567,0.9164973473125926,0.9992021033216063,0.9993849095097266
MRPS10,en,0.680844552092716,-6.8137954146594915,-0.5709059244790456,5.716719912108134,0.8703084709990225,0.8675356024478675,0.9992021033216063,0.9993849095097266
MRPS11,en,0.23593029270988966,-1.7118146894755977,0.021712356739924384,-0.6865301082267683,0.7941676327637498,0.8397188582151834,0.9993552080124365,0.9993849095097266
MRPS12,en,0.6930273928059327,-5.2108118352978146,-0.6063280697619683,4.509665213292546,0.3280624035689346,0.3918765523216326,0.6790130041786248,0.7685721083299812
MRPS14,en,0.269907886294753,-2.3838621820145276,-0.25659980789870357,2.305005446634912,0.9163979889408513,0.9246833338856114,0.9992021033216063,0.9993849095097266
MRPS15,en,0.5804559733469069,-4.599212550768163,-0.4174246699018209,3.0356112741225987,0.6756803564631968,0.732740744666841,0.9924415293796297,0.9993849095097266
MRPS16,en,0.7721952226239321,-7.901616305795202,-0.6595024957654515,6.73423025946977,0.49640695245662353,0.5113682941280003,0.8612867124573709,0.882693583099017
MRPS17,en,0.8024617985327925,-6.082628650018393,-0.5286985387221218,3.8423467711574855,0.6894553161779604,0.6929558815117921,0.9992021033216063,0.9967766776929352
MRPS18A,en,0.9141224917159813,-8.566846152036963,-0.7442764634982344,6.977767211022813,0.5214185939111405,0.5342343141974507,0.9034558454546396,0.9177153639429793
MRPS18B,en,1.279103168019531,-12.690132009625936,-1.0495488157753556,10.448242653520339,0.11568211145982372,0.12006469567665,0.42988593301491507,0.4330142147107964
MRPS18C,en,0.01908500413599537,-0.31396825719290905,0.044399253924707616,-0.3270719392781457,0.9951392073043539,0.9898976368251088,0.9993552080124365,0.9993849095097266
MRPS2,en,0.7627350684614461,-6.615010269385135,-0.3565184814924701,2.8177554121953086,0.1328032870639406,0.1826454133466456,0.885967286582626,0.9371933503958382
MRPS21,en,0.7466055864692633,-7.205930603220723,-0.7630168525543575,7.6178053180854715,0.704861229791158,0.7366543743867113,0.9638260903242835,0.9506062417336195
MRPS22,en,-0.0657465499835782,1.118416516526516,0.38859771627108514,-4.25397790146509,0.9744859516987973,0.954567759339766,0.9992021033216063,0.9835352792783983
